term,coef,se,t,p,response
Intercept,4850.426503031236,714.4801927559897,6.788748732587694,2.0580333364257012e-11,duration_ms
entropy,111.68145512166126,111.44746878532919,1.002099521316027,0.31656637865860476,duration_ms
avg_curvature,-0.5961670267924397,0.6252109962989815,-0.9535453316104942,0.3405712952642692,duration_ms
coherence,324.94459166374077,851.7825367943894,0.3814877361616756,0.7029319167233821,duration_ms
word_idx,-17.053444508273742,23.409734181278896,-0.7284766403674771,0.46651242075789834,duration_ms
Intercept,2425.6964993847632,357.24045132266514,6.790094711849517,2.0398561096780602e-11,fixation_samples
entropy,55.84128121350315,55.72378975834928,1.0021084613172109,0.31656206373502505,fixation_samples
avg_curvature,-0.2980698312872651,0.31260580874635985,-0.9535006162636956,0.34059392729366866,fixation_samples
coherence,162.4796176205401,425.8916915519228,0.38150454879378953,0.7029194481070276,fixation_samples
word_idx,-8.527837969013536,11.704878720297575,-0.7285712370710263,0.46645456455814793,fixation_samples
Intercept,8.073936024672024,0.1256734072710996,64.24538173979103,0.0,log_duration_ms
entropy,0.004465187868257954,0.019603039070916803,0.2277803891582574,0.8198689980959841,log_duration_ms
avg_curvature,-1.846980181815198e-05,0.00010997141273458085,-0.1679509370560636,0.8666598203716864,log_duration_ms
coherence,0.21350731548498006,0.14982418650411813,1.425052392853216,0.15449067619386114,log_duration_ms
word_idx,0.004876047469820622,0.004117652368393637,1.1841814299935298,0.23665564014216967,log_duration_ms
Intercept,7.381681164440598,0.12559489986126668,58.77373342862229,1.665871026912374e-309,log_fixation_samples
entropy,0.0044762535510418314,0.01959079317215644,0.22848761209953153,0.8193193796135425,log_fixation_samples
avg_curvature,-1.8531533464752125e-05,0.0001099027142648176,-0.16861761412096896,0.8661355226613612,log_fixation_samples
coherence,0.2132465477229561,0.14973059225002594,1.4242015911275416,0.15473667919453912,log_fixation_samples
word_idx,0.004866775537460218,0.004115080096112218,1.1826684836725718,0.23725464025769286,log_fixation_samples
