outcome,term,estimate,p,p_fdr_bh,rej_fdr_bh_0.05
FFD,entropy,0.021010699329739105,0.6170069721348477,0.6170069721348619,False
FFD,curvature,-9.036478935351889e-05,0.6170069721348619,0.6170069721348619,False
FFD,coherence,0.03397339063118021,0.6170069721348117,0.6170069721348619,False
GD,entropy,0.0,,,False
GD,curvature,0.0,,,False
GD,coherence,0.0,,,False
